plant_id,treatment,plant_ht_class,plant_ht_cm,num_flowers,corolla_area_mm2,spur_length_mm
1,control,tall,11.4,9,79.39,14.2
2,hand-pollinated,short,10.6,7,62.63,10.15
4,hand-pollinated,tall,12.5,6,95.04,7.21
5,control,tall,12.9,6,54.56,8.85
6,hand-pollinated,tall,13.5,10,36.14,9.67
7,control,short,7.3,6,52.67,10.86
8,hand-pollinated,tall,14.8,8,106.57,11.38
9,control,tall,13.9,9,97.12,11.11
10,hand-pollinated,tall,11.2,11,73.97,10.75
11,control,short,10.9,9,62.32,8.47
12,hand-pollinated,tall,14.1,10,43.79,6.98
13,control,tall,13.6,3,106.76,11.52
14,hand-pollinated,short,7.2,5,79.12,10.15
16,hand-pollinated,tall,14.4,8,60.04,10.34
17,control,short,6.5,2,50,9.18
18,hand-pollinated,tall,13.7,10,31.76,9.31
19,control,tall,16.2,12,65.32,12.11
20,hand-pollinated,short,10.8,3,68,8.24
21,control,tall,15.2,10,94.6,10.67
22,hand-pollinated,tall,13.7,12,78.2,12.24
23,control,tall,13.1,8,72.76,11.25
24,hand-pollinated,tall,18.9,13,34.84,11.77
25,control,short,10.8,6,83.88,10.61
26,hand-pollinated,short,9.9,4,63.88,9.06
27,control,tall,13.2,7,68.88,9.76
28,hand-pollinated,tall,14.2,14,100.51,10.24
29,control,tall,14.6,17,76.08,11.42
30,hand-pollinated,tall,15.2,17,63.67,11.08
31,control,tall,16.4,4,60.49,8.51
32,hand-pollinated,tall,16.7,10,62,10.1
33,control,tall,11.1,10,71.54,8.76
34,hand-pollinated,short,9,5,47.94,10.05
35,control,short,10.3,10,55.5,11.25
36,hand-pollinated,tall,16.1,17,68.91,10.8
37,control,tall,15.6,10,60,10.95
38,hand-pollinated,tall,12.8,9,69.92,10.92
39,control,short,10.9,5,72.32,10.51
40,hand-pollinated,tall,13.8,6,69.68,10.06
41,control,short,10,4,65.32,8.66
42,hand-pollinated,short,9.3,5,35.76,11.06
43,control,tall,11.5,5,45.48,9.17
44,hand-pollinated,short,9.3,10,70.16,9.18
45,control,short,10.9,6,77.64,8.81
46,hand-pollinated,tall,11.1,8,58.71,9.15
47,control,tall,12.7,8,66.21,11.23
48,hand-pollinated,tall,14.7,12,56.59,8.66
49,control,tall,14.5,6,51.96,10.1
50,hand-pollinated,short,8.4,8,82.62,11.96
51,control,short,10.9,4,71.01,9.65
52,hand-pollinated,tall,15.2,13,126.89,11
53,control,tall,12.9,11,70.93,11.43
54,hand-pollinated,tall,12.7,4,59.39,9.25
55,control,short,10.3,7,50.41,10.56
56,hand-pollinated,tall,13.4,13,69.86,10.89
57,control,short,7,3,59.65,10.72
58,hand-pollinated,tall,11,5,69.05,9.27
59,control,tall,13.9,6,61.65,10.82
60,hand-pollinated,tall,13.1,16,77.63,12.56
61,control,tall,14,9,65.28,8.63
62,hand-pollinated,tall,12.2,9,66.78,11.54
63,control,tall,12.2,8,67.4,9.38
64,hand-pollinated,short,7.4,5,68.55,11.61
65,control,short,9.2,4,52.33,10.85
66,hand-pollinated,tall,12.2,8,83.43,9.23
67,control,short,8.5,4,57.52,10.13
68,hand-pollinated,short,7.2,4,51.36,11.07
69,control,short,10.4,7,119.38,10.47
70,hand-pollinated,short,7.2,3,52.71,8.93
71,control,short,9.2,8,88.24,10.62
72,hand-pollinated,short,9.3,5,57.9,11.7
73,control,short,6.8,5,58.63,12.64
74,hand-pollinated,tall,16.6,11,80.18,12.42
75,control,tall,12,10,66.44,10.67
76,hand-pollinated,short,7.7,13,57.72,8.27
77,control,short,10.9,5,44.5,9.64
78,hand-pollinated,tall,11,5,69.01,10.52
79,control,tall,11.4,6,85.74,8.7
80,hand-pollinated,tall,16.2,13,89.13,10.47
81,control,tall,16.1,13,107.41,16.53
82,hand-pollinated,tall,15.8,8,68.71,8.24
83,control,short,6.8,5,70.6,9.15
84,hand-pollinated,tall,18.3,14,53.57,9.21
85,control,short,10.6,4,91.63,12.25
86,hand-pollinated,tall,14.4,9,89.33,11.07
87,control,short,9.7,10,85.9,11.56
88,hand-pollinated,tall,18.4,10,90.68,12.28
89,control,tall,16.2,11,119.84,14.15
90,hand-pollinated,tall,12.7,6,54.19,11.92
91,control,tall,17.2,17,83.27,11
92,hand-pollinated,tall,13.7,8,62.89,12.07
93,control,tall,17.1,10,138.59,8.25
94,hand-pollinated,short,7.3,3,44.33,12.4
95,control,tall,13.2,7,93.24,11
96,hand-pollinated,short,10.7,6,66.06,9.46
97,control,short,8.1,8,64.42,10.66
98,hand-pollinated,short,10.6,8,26.91,9.61
99,control,tall,13.6,7,41.92,10.22
100,hand-pollinated,tall,13.5,8,70.33,10.37
101,control,tall,14.2,7,112.75,11.55
102,hand-pollinated,short,10.7,8,99.99,12.23
103,control,short,7.6,5,34.07,8.25
104,hand-pollinated,tall,13.4,10,69.19,10.36
105,control,tall,12.4,7,48.16,8.33
106,hand-pollinated,short,8.6,4,64.87,8.46
107,control,short,9.7,8,98.78,8.83
108,hand-pollinated,tall,12.4,12,58.5,10.07
109,control,short,9.7,9,62.78,11.28
110,hand-pollinated,short,10.5,5,57.01,9.04
111,control,short,10.7,6,51.62,10.83
112,hand-pollinated,tall,18.3,9,90.91,14.86
113,control,tall,11.3,9,78.9,12.55
115,control,short,8.8,3,49.25,8.36
116,hand-pollinated,tall,14,10,113.42,10.33
117,control,tall,11.6,8,103.99,11.89
118,hand-pollinated,tall,15.4,10,79.89,10.51
119,control,tall,22.9,11,86.67,13.44
120,hand-pollinated,tall,23,13,87.96,11.02
121,control,tall,11.8,10,78.88,11.16
122,hand-pollinated,tall,16.2,8,76,9.65
123,control,tall,11.8,7,64.36,9.02
124,hand-pollinated,short,8.9,4,58.56,10.73
125,control,short,8.8,6,59.04,10.48
126,hand-pollinated,short,6.5,5,49.56,10.05
127,control,tall,12,9,42.36,6.81
128,hand-pollinated,tall,11.7,9,57.16,10.2
129,control,short,9.4,7,64.4,10.02
130,hand-pollinated,tall,12.6,9,84.6,7.13
131,control,tall,12.8,8,78.92,10.52
132,hand-pollinated,tall,12.3,7,81.36,8.47
133,control,tall,18.1,12,93.32,10.75
135,control,tall,11.3,5,75.28,10.1
136,hand-pollinated,short,7.8,4,61.76,9.11
137,control,tall,13.7,9,90.04,9.15
138,hand-pollinated,tall,14.9,14,71.4,10.55
139,control,tall,15.6,10,87.56,8.68
140,hand-pollinated,short,9.1,5,72.44,7.48
141,control,short,10.2,5,44.44,8.23
142,hand-pollinated,tall,17.2,12,61.12,12.32
143,control,tall,15.7,6,76,11.13
144,hand-pollinated,tall,16.8,10,109.48,9.63
145,control,tall,20,16,76.6,10.94
146,hand-pollinated,tall,11.9,6,94.24,8.85
147,control,short,9.7,3,55.24,8.81
148,hand-pollinated,short,10.3,3,33.68,9.18
149,control,tall,16.8,5,70.24,10.39
150,hand-pollinated,tall,20.7,15,99.16,10.61
151,control,short,10.3,6,63.4,10.14
152,hand-pollinated,tall,17.9,12,87.52,9.41
153,control,tall,13.2,7,70.36,9.3
154,hand-pollinated,tall,13,4,84.28,11.65
155,control,tall,12.3,5,63.04,12.23
156,hand-pollinated,tall,17.9,6,63.64,9.69
157,control,tall,17.6,9,105.58,11.26
158,hand-pollinated,tall,16.1,13,124.03,7.32
159,control,tall,12.2,4,74.47,10.33
160,hand-pollinated,short,10.7,4,79.13,9.59
161,control,tall,21.9,16,102.33,11.55
162,hand-pollinated,tall,11.1,9,89.34,10.23
163,control,short,10.2,8,78.05,9.66
164,hand-pollinated,short,10.3,9,117.28,10.82
165,control,tall,17.8,16,127.95,11.67
166,hand-pollinated,short,8.5,3,82.09,11.16
167,control,tall,14.3,10,137.98,10.62
168,hand-pollinated,tall,12.1,7,52.94,10.61
169,control,short,9.7,11,52.4,10.63
170,hand-pollinated,short,7,5,39.12,8.48
171,control,tall,11.5,11,69.32,11.45
172,hand-pollinated,tall,14.8,6,62.2,11.09
