County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Lewis,49,2010,13433,24,NA,NA,NA,NA,NA,NA,NA,"(43.588855, -75.279411)","(43.786397, -75.442617)"
Jefferson,45,2011,13612,48,NA,NA,NA,NA,NA,NA,NA,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Herkimer,43,2003,13416,16,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
St. Lawrence,89,2018,13614,6,NA,NA,0,0,0,0,0,"(44.541243, -75.688955)","(44.488113, -75.074311)"
Essex,31,2020,12946,18,18,0,0,0,0,0,0,"(44.281966, -73.988816)","(44.108971, -73.777573)"
Franklin,33,2013,13655,67,NA,NA,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Warren,113,2010,12843,13,13,0,0,0,0,0,0,"(43.59355, -73.974572)","(43.555105, -73.838139)"
St. Lawrence,89,2004,13662,136,100,33,NA,NA,NA,NA,NA,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Herkimer,43,2019,13439,6,6,0,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
Essex,31,2001,12974,8,NA,NA,0,0,0,0,0,"(44.045341, -73.465362)","(44.108971, -73.777573)"
St. Lawrence,89,2017,13694,21,21,0,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
Clinton,19,2019,12921,22,22,0,0,0,0,0,0,"(44.889987, -73.466593)","(44.75271, -73.705648)"
Clinton,19,2006,12910,20,NA,NA,NA,NA,NA,NA,NA,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Herkimer,43,2011,13329,24,NA,NA,NA,NA,NA,NA,NA,"(43.1037, -74.74098)","(43.1631, -74.8741)"
Warren,113,2015,12845,36,NA,NA,0,0,0,0,0,"(43.41696, -73.6848)","(43.555105, -73.838139)"
St. Lawrence,89,2015,13608,7,7,0,0,0,0,0,0,"(44.198498, -75.607636)","(44.488113, -75.074311)"
Essex,31,2020,12928,15,NA,NA,0,0,0,0,0,"(43.96698, -73.46178)","(44.108971, -73.777573)"
Clinton,19,2000,12985,11,NA,NA,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
St. Lawrence,89,2003,13676,63,NA,NA,0,0,0,0,0,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Jefferson,45,2013,13656,33,NA,NA,0,0,0,0,0,"(44.19102, -75.95556)","(44.0607, -75.9928)"
Clinton,19,2009,12910,15,14,0,NA,NA,NA,NA,NA,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Warren,113,2018,12878,6,6,0,0,0,0,0,0,"(43.426602, -73.962388)","(43.555105, -73.838139)"
Herkimer,43,2000,13407,46,32,14,0,0,0,0,0,"(42.99114, -74.98056)","(43.1631, -74.8741)"
Herkimer,43,2019,13331,7,7,0,0,0,0,0,0,"(43.841882, -74.878424)","(43.1631, -74.8741)"
Franklin,33,2001,12986,19,NA,NA,0,0,0,0,0,"(44.23505, -74.46496)","(44.594374, -74.31067)"
Clinton,19,2010,12981,16,NA,NA,0,0,0,0,0,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Jefferson,45,2020,13616,25,25,0,0,0,0,0,0,"(44.02437, -75.858123)","(44.0607, -75.9928)"
Jefferson,45,2001,13616,9,NA,NA,0,0,0,0,0,"(44.02437, -75.858123)","(44.0607, -75.9928)"
St. Lawrence,89,2012,13694,15,NA,NA,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
