Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,female_maturity_days,male_maturity_days,gestation_incubation_days,weaning_days,litter_clutch_size,litters_clutches_per_year,inter_repro_interval_days,birth_wt_g,weaning_wt_g,adult_wt_g,growth_rate_1_over_days,max_longevity_years,Source,data_quality,body_mass_g,temperature_K
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Cooper's hawk,730,730,24,NA,4,1,NA,28,NA,526.64,0.212,20.3,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Northern goshawk,365,730,33,NA,3,1,NA,NA,NA,1044.2,0.225,22,450,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,365,365,NA,NA,NA,NA,NA,NA,NA,237.5,0.258,20.2,450,acceptable,135,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,365,365,34,NA,4,1,NA,NA,NA,135,NA,19.9,427,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous vulture,NA,NA,NA,NA,NA,NA,NA,NA,NA,9625,NA,39,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,adalberti,Spanish imperial eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,44.5,575,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,audax,Wedge-tailed eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3466,NA,40,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460,1460,40,NA,2,1,NA,110.6,NA,4800,0.126,48,437,acceptable,3000,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,fasciata,Bonelli's eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,0.154,20,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,Eastern imperical eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,3262,NA,56,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,Steppe eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745.5,NA,41,1,acceptable,NA,NA
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370,NA,26.1,1,acceptable,NA,NA
