Bat_ID,Chamber,Temp_C,Rel_humid_percent,Water_Vapor_Deficit_kPa,Sex,Arousals,Initial_mass_g,Final_mass_g,Initial_fat_g,mass_loss_g
ttu-002,7,11,92,0.105,m,7,5.4,4.2,1.125,1.2
ttu-004,5,5,94,0.052,f,6,6.5,5.5,1.68,1
ttu-005,4,11,89,0.144,m,10,5.7,4.5,1.385,1.2
ttu-007,5,5,94,0.052,m,5,6.5,5.7,1.805,0.8
ttu-008,1,8,95,0.054,m,7,5.8,4.9,1.305,0.9
ttu-009,5,5,94,0.052,m,7,5.3,4.7,1.485,0.6
ttu-010,6,8,90,0.107,f,9,7.2,5.9,2.125,1.3
ttu-011,6,8,90,0.107,m,7,5.3,4.1,1.02,1.2
ttu-014,4,11,89,0.144,m,10,6,4.8,1.37,1.2
ttu-017,4,11,89,0.144,m,8,5.7,4.8,0.995,0.9
ttu-018,6,8,90,0.107,m,7,6.1,5.4,1.245,0.7
ttu-019,5,5,94,0.052,f,4,7.1,6.7,2.23,0.4
ttu-020,3,8,85,0.161,m,12,5.7,4.8,1.13,0.9
ttu-021,9,5,88,0.105,m,11,5.6,4.4,1.28,1.2
ttu-023,7,11,92,0.105,f,16,7.2,5.5,1.625,1.7
ttu-024,9,5,88,0.105,m,8,6.2,5.2,1.245,1
ttu-025,9,5,88,0.105,f,7,6.2,5.6,1.255,0.6
ttu-026,1,8,95,0.054,f,6,6.7,5.7,1.58,1
ttu-029,7,11,92,0.105,m,7,6.1,5.1,1.47,1
ttu-031,3,8,85,0.161,f,8,5.7,5,1.255,0.7
ttu-033,4,11,89,0.144,f,10,6.5,4.9,1.945,1.6
ttu-034,6,8,90,0.107,f,8,5.3,4.4,1.21,0.9
ttu-036,3,8,85,0.161,m,9,5.2,4.7,1.14,0.5
ttu-038,3,8,85,0.161,m,7,5.1,3.6,0.9,1.5
ttu-040,7,11,92,0.105,f,10,6.4,4.8,2.01,1.6
ttu-041,4,11,89,0.144,f,8,6.5,5.4,1.64,1.1
ttu-042,3,8,85,0.161,f,10,5.9,4.7,1.565,1.2
ttu-043,1,8,95,0.054,m,6,4.9,4,1.145,0.9
ttu-044,1,8,95,0.054,f,9,6.7,5.2,2.095,1.5
ttu-047,1,8,95,0.054,f,5,6.6,5.7,1.79,0.9
ttu-048,7,11,92,0.105,m,10,6.4,5.1,1.44,1.3
ttu-052,1,8,95,0.054,f,7,6.7,5.6,1.615,1.1
ttu-053,9,5,88,0.105,f,6,5.4,4.4,0.945,1
ttu-055,3,8,85,0.161,f,10,6.5,5.1,1.51,1.4
ttu-057,3,8,85,0.161,m,6,5.9,5.2,1.515,0.7
ttu-058,5,5,94,0.052,m,7,6,5.1,1.4,0.9
ttu-060,1,8,95,0.054,m,7,5.7,4.5,1.08,1.2
ttu-062,4,11,89,0.144,m,9,5.2,4.1,0.995,1.1
ttu-063,1,8,95,0.054,m,8,4.7,4.5,0.74,0.2
ttu-064,7,11,92,0.105,m,8,5.6,4.6,0.805,1
ttu-065,5,5,94,0.052,m,7,6,4.7,1.21,1.3
ttu-067,9,5,88,0.105,f,10,6.3,5.3,1.67,1
ttu-068,4,11,89,0.144,f,13,6.9,5.2,1.9,1.7
ttu-069,3,8,85,0.161,f,12,6.8,5.5,2,1.3
ttu-070,7,11,92,0.105,m,10,5.6,4.7,1.225,0.9
ttu-071,5,5,94,0.052,f,8,6,5.3,1.54,0.7
ttu-072,6,8,90,0.107,m,8,5.6,5.2,1.06,0.4
ttu-073,5,5,94,0.052,f,6,7,6,2.025,1
ttu-074,3,8,85,0.161,f,9,6.8,5.6,1.81,1.2
ttu-075,9,5,88,0.105,f,11,7.7,6.1,2.115,1.6
ttu-076,4,11,89,0.144,m,8,5.2,4.2,0.95,1
ttu-077,6,8,90,0.107,m,10,5.6,4.9,1.11,0.7
ttu-078,1,8,95,0.054,m,9,5.8,4.9,1.415,0.9
ttu-079,1,8,95,0.054,f,8,5.8,4.9,1.56,0.9
ttu-080,6,8,90,0.107,f,12,7.1,5.4,1.86,1.7
ttu-081,6,8,90,0.107,f,7,6.4,5.4,1.515,1
ttu-082,7,11,92,0.105,m,10,6.1,4.5,1.12,1.6
ttu-084,4,11,89,0.144,f,9,6.8,5.1,1.765,1.7
ttu-085,3,8,85,0.161,f,11,6.5,5.5,1.755,1
ttu-086,9,5,88,0.105,f,11,8.1,6.2,2.7,1.9
ttu-087,9,5,88,0.105,m,6,6.3,5.4,1.405,0.9
ttu-088,5,5,94,0.052,m,5,5.6,5.4,1.325,0.2
ttu-090,6,8,90,0.107,f,6,6,5.2,1.24,0.8
ttu-091,7,11,92,0.105,m,9,5.3,4.9,1.17,0.4
ttu-092,5,5,94,0.052,m,6,5.6,4.8,1.2,0.8
ttu-094,5,5,94,0.052,m,6,5.2,4.7,1.05,0.5
ttu-096,6,8,90,0.107,f,9,6.4,5.5,1.8,0.9
